Игра;GB;Путь
;;
;;
GTAV;0.00;D:\GTAV [Premium Edition] (2015) Portable by Canek77
;;
;;
;;
;;
;;
;;
Wemade;20.72;D:\Wemade
;;
Counter-Strike 1.6;0.34;D:\Games\Counter-Strike 1.6
;;
Korabli;54.49;D:\Games\Korabli
;;
;;
Tanki;55.52;D:\Games\Tanki
Tanks_Blitz;21.85;D:\Games\Tanks_Blitz
World_of_Tanks_EU;87.71;D:\Games\World_of_Tanks_EU
League of Legends;36.55;D:\Riot Games\League of Legends
LoR;0.40;D:\Riot Games\LoR
Teamfight Tactics;апр.95;D:\Riot Games\Teamfight Tactics
VALORANT;33.52;D:\Riot Games\VALORANT
;;
EA;0.00;D:\Program Files\EA
Electronic Arts;0.58;D:\Program Files\Electronic Arts
;;
;;
4Game;0.48;D:\Program Files (x86)\4Game
Battlefield 3;35.35;D:\Program Files (x86)\Battlefield 3
Battlefield 4;69.07;D:\Program Files (x86)\Battlefield 4
Battlefield V;50.13;D:\Program Files (x86)\Battlefield V
BlueStacks X;0.00;D:\Program Files (x86)\BlueStacks X
Call of Duty;146.65;D:\Program Files (x86)\Call of Duty
Call of Duty - Modern Warfare 3;18.86;D:\Program Files (x86)\Call of Duty - Modern Warfare 3
Call of Duty 2;мар.92;D:\Program Files (x86)\Call of Duty 2
Call of Duty WWII;40.82;D:\Program Files (x86)\Call of Duty WWII
GTA5RP;0.31;D:\Program Files (x86)\GTA5RP
Half-Life 2 Complete Edition;окт.74;D:\Program Files (x86)\Half-Life 2 Complete Edition
Hearthstone;12.ноя;D:\Program Files (x86)\Hearthstone
Heroes of the Storm;20.авг;D:\Program Files (x86)\Heroes of the Storm
Innova;0.50;D:\Program Files (x86)\Innova
Overwatch;76.05;D:\Program Files (x86)\Overwatch
Portal 2;12.дек;D:\Program Files (x86)\Portal 2
Roblox;0.00;D:\Program Files (x86)\Roblox
Sniper Elite 4;66.29;D:\Program Files (x86)\Sniper Elite 4
Sons of the Forest;15.65;D:\Program Files (x86)\Sons of the Forest
StarCraft;май.60;D:\Program Files (x86)\StarCraft
StarCraft II;25.47;D:\Program Files (x86)\StarCraft II
The Forest;02.май;D:\Program Files (x86)\The Forest
WarCraft III;янв.71;D:\Program Files (x86)\WarCraft III
WarThunder;104.06;D:\Program Files (x86)\WarThunder
World of Warcraft;124.30;D:\Program Files (x86)\World of Warcraft
Fortnite;70.44;D:\Program Files\Epic Games\Fortnite
GTAV;120.32;D:\Program Files\Epic Games\GTAV
HellLetLooseG0WU4;46.95;D:\Program Files\Epic Games\HellLetLooseG0WU4
rocketleague;39.87;D:\Program Files\Epic Games\rocketleague
TheCallistoProtocol;94.20;D:\Program Files\Epic Games\TheCallistoProtocol
007 First Light;53.03;D:\Program Files (x86)\Steam\steamapps\common\007 First Light
ABInfinite;84.54;D:\Program Files (x86)\Steam\steamapps\common\ABInfinite
Age of Empires IV;32.56;D:\Program Files (x86)\Steam\steamapps\common\Age of Empires IV
Apex Legends;79.64;D:\Program Files (x86)\Steam\steamapps\common\Apex Legends
Arc Raiders;53.11;D:\Program Files (x86)\Steam\steamapps\common\Arc Raiders
